cds;Area;Nome;Dipartimento;Tipo di laurea;Lingua;disattivato
[524] SCIENZE DELL'EDUCAZIONE;Formazione;SCIENZE DELL'EDUCAZIONE;DIPARTIMENTO DI SCIENZE UMANE PER LA FORMAZIONE;Laurea triennale (DM 270);Italiano;
[541] SCIENZE DEL TURISMO E COMUNITA' LOCALE(C.SO A DISTANZA);Sociologica;SCIENZE DEL TURISMO E COMUNITÀ LOCALE;DIPARTIMENTO DI SOCIOLOGIA E RICERCA SOCIALE;Laurea triennale (DM 270);Italiano;
[581] GIURISPRUDENZA;Giuridica;GIURISPRUDENZA;DIPARTIMENTO DI GIURISPRUDENZA (SCHOOL OF LAW);Laurea Magistrale Ciclo Unico 5 anni;Italiano;
[E0201Q] BIOTECNOLOGIE;Scientifica;BIOTECNOLOGIE;DIPARTIMENTO DI BIOTECNOLOGIE E BIOSCIENZE;Laurea triennale (DM 270);Italiano;
[E1301Q] SCIENZE BIOLOGICHE;Scientifica;SCIENZE BIOLOGICHE;DIPARTIMENTO DI BIOTECNOLOGIE E BIOSCIENZE;Laurea triennale (DM 270);Italiano;
[E1401A] SCIENZE DEI SERVIZI GIURIDICI;Giuridica;SCIENZE DEI SERVIZI GIURIDICI;DIPARTIMENTO DI GIURISPRUDENZA (SCHOOL OF LAW);Laurea triennale (DM 270);Italiano;
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE;Sociologica;SCIENZE DEL TURISMO E COMUNITÀ LOCALE;DIPARTIMENTO DI SOCIOLOGIA E RICERCA SOCIALE;Laurea triennale (DM 270);Italiano;
[E1502N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE (NETTUNO);Sociologica;SCIENZE DEL TURISMO E COMUNITÀ LOCALE;DIPARTIMENTO DI SOCIOLOGIA E RICERCA SOCIALE;Laurea triennale (DM 270);Italiano;
[E1601N] SCIENZE DELL'ORGANIZZAZIONE;Sociologica;SCIENZE DELL'ORGANIZZAZIONE;DIPARTIMENTO DI SOCIOLOGIA E RICERCA SOCIALE;Laurea triennale (DM 270);Italiano;
[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI;Economico statistica;MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI;DIPARTIMENTO DI ECONOMIA, METODI QUANTITATIVI E STRATEGIE DI IMPRESA;Laurea triennale (DM 270);Italiano;
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE;Economico statistica;ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE;DIPARTIMENTO DI SCIENZE ECONOMICO-AZIENDALI E DIRITTO PER L'ECONOMIA   ;Laurea triennale (DM 270);Italiano;
[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI;Economico statistica;ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI;DIPARTIMENTO DI SCIENZE ECONOMICO-AZIENDALI E DIRITTO PER L'ECONOMIA  ;Laurea triennale (DM 270);Italiano;
[E1901R] SCIENZE DELL'EDUCAZIONE;Formazione;SCIENZE DELL'EDUCAZIONE;DIPARTIMENTO DI SCIENZE UMANE PER LA FORMAZIONE;Laurea triennale (DM 270);Italiano;
[E2001R] COMUNICAZIONE INTERCULTURALE;Formazione;COMUNICAZIONE INTERCULTURALE;DIPARTIMENTO DI SCIENZE UMANE PER LA FORMAZIONE;Laurea triennale (DM 270);Italiano;
[E2003P] COMUNICAZIONE E PSICOLOGIA;Psicologica;COMUNICAZIONE E PSICOLOGIA;DIPARTIMENTO DI PSICOLOGIA;Laurea triennale (DM 270);Italiano;disattivato
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE;Psicologica;SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE;DIPARTIMENTO DI PSICOLOGIA;Laurea triennale (DM 270);Italiano;
[E2401P] SCIENZE E TECNICHE PSICOLOGICHE;Psicologica;SCIENZE E TECNICHE PSICOLOGICHE      ;DIPARTIMENTO DI PSICOLOGIA;Laurea triennale (DM 270);Italiano;
[E2701Q] SCIENZA DEI MATERIALI;Scientifica;SCIENZA DEI MATERIALI;DIPARTIMENTO DI SCIENZA DEI MATERIALI;Laurea triennale (DM 270);Italiano;
[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE;Scientifica;SCIENZE E TECNOLOGIE CHIMICHE;DIPARTIMENTO DI SCIENZA DEI MATERIALI;Laurea triennale (DM 270);Italiano;
