cdscod,cds,year,adcod,ad,num_iscritti,num_sup,ratio
524,"[524] SCIENZE DELL'EDUCAZIONE",2017,E1901R086,"[E1901R086] METODI E TECNICHE DELLA FORMAZIONE MEDIALE",1,1,100.0
541,"[541] SCIENZE DEL TURISMO E COMUNITA' LOCALE(C.SO A DISTANZA)",2017,E1501N009,"[E1501N009] SOCIOLOGIA DELLA CULTURA E DEL TEMPO LIBERO",1,1,100.0
581,"[581] GIURISPRUDENZA",2016,A5810010,"[A5810010] DIRITTO AMMINISTRATIVO",3,0,0.0
581,"[581] GIURISPRUDENZA",2016,A5810012,"[A5810012] DIRITTO TRIBUTARIO",2,0,0.0
581,"[581] GIURISPRUDENZA",2016,A5810017,"[A5810017] DIRITTO PROCESSUALE CIVILE",3,0,0.0
581,"[581] GIURISPRUDENZA",2016,A5810018,"[A5810018] PROCEDURA PENALE",2,0,0.0
581,"[581] GIURISPRUDENZA",2016,A5810033,"[A5810033] TEORIE DELL'INTERPRETAZIONE",1,0,0.0
581,"[581] GIURISPRUDENZA",2016,A5810051,"[A5810051] DIRITTO DEL LAVORO C.P.",1,0,0.0
581,"[581] GIURISPRUDENZA",2016,A5810066,"[A5810066] DIRITTO SINDACALE",1,0,0.0
581,"[581] GIURISPRUDENZA",2016,A5810228,"[A5810228] STORIA DEL DIRITTO MEDIEVALE E MODERNO",1,0,0.0
581,"[581] GIURISPRUDENZA",2016,A5810229,"[A5810229] ISTITUZIONI DI DIRITTO ROMANO",2,0,0.0
581,"[581] GIURISPRUDENZA",2016,A5810031,"[A5810031] INFORMATICA GIURIDICA",28,1,3.57142857142857
581,"[581] GIURISPRUDENZA",2017,A5810018,"[A5810018] PROCEDURA PENALE",249,119,47.7911646586345
581,"[581] GIURISPRUDENZA",2017,A5810017,"[A5810017] DIRITTO PROCESSUALE CIVILE",349,178,51.0028653295129
581,"[581] GIURISPRUDENZA",2017,A5810012,"[A5810012] DIRITTO TRIBUTARIO",246,130,52.8455284552846
581,"[581] GIURISPRUDENZA",2017,A5810228,"[A5810228] STORIA DEL DIRITTO MEDIEVALE E MODERNO",430,231,53.7209302325581
581,"[581] GIURISPRUDENZA",2017,A5810066,"[A5810066] DIRITTO SINDACALE",7,4,57.1428571428571
581,"[581] GIURISPRUDENZA",2017,A5810229,"[A5810229] ISTITUZIONI DI DIRITTO ROMANO",385,225,58.4415584415584
581,"[581] GIURISPRUDENZA",2017,A5810031,"[A5810031] INFORMATICA GIURIDICA",44,29,65.9090909090909
581,"[581] GIURISPRUDENZA",2017,A5810010,"[A5810010] DIRITTO AMMINISTRATIVO",288,203,70.4861111111111
581,"[581] GIURISPRUDENZA",2017,A5810051,"[A5810051] DIRITTO DEL LAVORO C.P.",17,12,70.5882352941177
581,"[581] GIURISPRUDENZA",2017,A5810033,"[A5810033] TEORIE DELL'INTERPRETAZIONE",15,13,86.6666666666667
E0201Q,"[E0201Q] BIOTECNOLOGIE",2016,E0201Q055,"[E0201Q055] COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO",3,0,0.0
E0201Q,"[E0201Q] BIOTECNOLOGIE",2016,E0201Q059,"[E0201Q059] BIOCHIMICA PER LE BIOTECNOLOGIE",1,0,0.0
E0201Q,"[E0201Q] BIOTECNOLOGIE",2016,E0201Q065,"[E0201Q065] BIOCHIMICA SISTEMATICA UMANA",47,33,70.2127659574468
E0201Q,"[E0201Q] BIOTECNOLOGIE",2016,E1301Q059,"[E1301Q059] ECOLOGIA APPLICATA",1,1,100.0
E0201Q,"[E0201Q] BIOTECNOLOGIE",2016,E1301Q063,"[E1301Q063] BOTANICA",1,1,100.0
E0201Q,"[E0201Q] BIOTECNOLOGIE",2017,E0201Q059,"[E0201Q059] BIOCHIMICA PER LE BIOTECNOLOGIE",147,73,49.6598639455782
E0201Q,"[E0201Q] BIOTECNOLOGIE",2017,E0201Q001,"[E0201Q001] MATEMATICA",268,141,52.6119402985075
E0201Q,"[E0201Q] BIOTECNOLOGIE",2017,E0201Q053,"[E0201Q053] ORGANI E FUNZIONI",142,83,58.4507042253521
E0201Q,"[E0201Q] BIOTECNOLOGIE",2017,E0201Q050,"[E0201Q050] METODOLOGIE BIOCHIMICHE E TECNOLOGIE BIOMOLECOLARI",86,52,60.4651162790698
E0201Q,"[E0201Q] BIOTECNOLOGIE",2017,E0201Q075,"[E0201Q075] BIOTECNOLOGIE CELLULARI",43,26,60.4651162790698
E0201Q,"[E0201Q] BIOTECNOLOGIE",2017,E0201Q065,"[E0201Q065] BIOCHIMICA SISTEMATICA UMANA",79,51,64.5569620253165
E0201Q,"[E0201Q] BIOTECNOLOGIE",2017,E0201Q055,"[E0201Q055] COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO",35,24,68.5714285714286
E0201Q,"[E0201Q] BIOTECNOLOGIE",2017,E1301Q059,"[E1301Q059] ECOLOGIA APPLICATA",1,1,100.0
E1301Q,"[E1301Q] SCIENZE BIOLOGICHE",2016,E0201Q055,"[E0201Q055] COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO",1,0,0.0
E1301Q,"[E1301Q] SCIENZE BIOLOGICHE",2016,E1301Q011,"[E1301Q011] ZOOLOGIA",1,0,0.0
E1301Q,"[E1301Q] SCIENZE BIOLOGICHE",2016,E1301Q063,"[E1301Q063] BOTANICA",1,0,0.0
E1301Q,"[E1301Q] SCIENZE BIOLOGICHE",2016,E0201Q065,"[E0201Q065] BIOCHIMICA SISTEMATICA UMANA",9,4,44.4444444444444
E1301Q,"[E1301Q] SCIENZE BIOLOGICHE",2016,E1301Q059,"[E1301Q059] ECOLOGIA APPLICATA",4,3,75.0
E1301Q,"[E1301Q] SCIENZE BIOLOGICHE",2017,E0201Q050,"[E0201Q050] METODOLOGIE BIOCHIMICHE E TECNOLOGIE BIOMOLECOLARI",2,0,0.0
E1301Q,"[E1301Q] SCIENZE BIOLOGICHE",2017,E0201Q054,"[E0201Q054] FARMACOLOGIA",1,0,0.0
E1301Q,"[E1301Q] SCIENZE BIOLOGICHE",2017,E2702Q092,"[E2702Q092] CHIMICA INORGANICA I E LABORATORIO",1,0,0.0
E1301Q,"[E1301Q] SCIENZE BIOLOGICHE",2017,E0201Q012,"[E0201Q012] ECONOMIA AZIENDALE",3,1,33.3333333333333
E1301Q,"[E1301Q] SCIENZE BIOLOGICHE",2017,E1301Q011,"[E1301Q011] ZOOLOGIA",189,75,39.6825396825397
E1301Q,"[E1301Q] SCIENZE BIOLOGICHE",2017,E0201Q065,"[E0201Q065] BIOCHIMICA SISTEMATICA UMANA",90,44,48.8888888888889
E1301Q,"[E1301Q] SCIENZE BIOLOGICHE",2017,E0201Q055,"[E0201Q055] COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO",15,8,53.3333333333333
E1301Q,"[E1301Q] SCIENZE BIOLOGICHE",2017,E1301Q059,"[E1301Q059] ECOLOGIA APPLICATA",48,26,54.1666666666667
E1301Q,"[E1301Q] SCIENZE BIOLOGICHE",2017,E1301Q063,"[E1301Q063] BOTANICA",147,107,72.7891156462585
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2016,E1401A007,"[E1401A007] DIRITTO COMMERCIALE",1,0,0.0
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2016,E1401A008,"[E1401A008] DIRITTO PENALE",1,0,0.0
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2016,E1401A034,"[E1401A034] DIRITTO URBANISTICO",1,0,0.0
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2016,E1401A078,"[E1401A078] ISTITUZIONI DI DIRITTO PRIVATO",2,0,0.0
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2016,E1401A074,"[E1401A074] ELEMENTI DI DIRITTO ROMANO PUBBLICO E PRIVATO",10,2,20.0
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2016,E1401A028,"[E1401A028] DIRITTO FALLIMENTARE",2,1,50.0
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2016,E1401A076,"[E1401A076] ELEMENTI DI STORIA DEL DIRITTO MEDIEVALE E MODERNO",2,1,50.0
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2016,E1401A019,"[E1401A019] DIRITTO DELLA SICUREZZA SOCIALE: PREVIDENZA E ASSISTENZA",11,6,54.5454545454545
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2016,E1401A025,"[E1401A025] DIRITTO DEI MERCATI FINANZIARI",9,5,55.5555555555556
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2016,E1401A086,"[E1401A086] ELEMENTI DI DIRITTO PROCESSUALE CIVILE",6,4,66.6666666666667
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2017,E1401A078,"[E1401A078] ISTITUZIONI DI DIRITTO PRIVATO",357,135,37.8151260504202
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2017,E1401A028,"[E1401A028] DIRITTO FALLIMENTARE",19,8,42.1052631578947
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2017,E1401A007,"[E1401A007] DIRITTO COMMERCIALE",120,69,57.5
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2017,E1401A019,"[E1401A019] DIRITTO DELLA SICUREZZA SOCIALE: PREVIDENZA E ASSISTENZA",22,13,59.0909090909091
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2017,E1401A074,"[E1401A074] ELEMENTI DI DIRITTO ROMANO PUBBLICO E PRIVATO",304,183,60.1973684210526
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2017,E1401A008,"[E1401A008] DIRITTO PENALE",118,74,62.7118644067797
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2017,E1401A076,"[E1401A076] ELEMENTI DI STORIA DEL DIRITTO MEDIEVALE E MODERNO",241,160,66.3900414937759
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2017,E1401A086,"[E1401A086] ELEMENTI DI DIRITTO PROCESSUALE CIVILE",123,100,81.3008130081301
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2017,E1401A025,"[E1401A025] DIRITTO DEI MERCATI FINANZIARI",22,19,86.3636363636364
E1501N,"[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE",2016,E1501N001,"[E1501N001] DIRITTO DEL TURISMO",1,0,0.0
E1501N,"[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE",2016,E1501N065,"[E1501N065] ECONOMIA CULTURALE E AMBIENTALE",77,38,49.3506493506493
E1501N,"[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE",2016,E1501N011,"[E1501N011] SOCIOLOGIA DEL TERRITORIO",2,1,50.0
E1501N,"[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE",2016,E1501N051,"[E1501N051] GEOGRAFIA DEL TURISMO",134,84,62.6865671641791
E1501N,"[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE",2016,E1501N014,"[E1501N014] ECONOMIA DEL TURISMO",72,49,68.0555555555556
