dtappello;cds;sum_commit;sum_tutti;tasso_commit
12/9/2017;[524] SCIENZE DELL'EDUCAZIONE;0;1;0
25/1/2017;[541] SCIENZE DEL TURISMO E COMUNITA' LOCALE(C.SO A DISTANZA);0;1;0
1/12/2016;[581] GIURISPRUDENZA;11;11;1
1/12/2017;[581] GIURISPRUDENZA;5;5;1
1/2/2017;[581] GIURISPRUDENZA;4;4;1
1/6/2017;[581] GIURISPRUDENZA;2;2;1
10/2/2017;[581] GIURISPRUDENZA;4;4;1
10/5/2017;[581] GIURISPRUDENZA;0;1;0
10/7/2017;[581] GIURISPRUDENZA;11;11;1
11/7/2017;[581] GIURISPRUDENZA;15;15;1
11/9/2017;[581] GIURISPRUDENZA;18;18;1
12/6/2017;[581] GIURISPRUDENZA;0;1;0
12/7/2017;[581] GIURISPRUDENZA;5;5;1
12/9/2017;[581] GIURISPRUDENZA;9;9;1
13/2/2017;[581] GIURISPRUDENZA;12;12;1
13/7/2017;[581] GIURISPRUDENZA;7;7;1
13/9/2016;[581] GIURISPRUDENZA;2;2;1
13/9/2017;[581] GIURISPRUDENZA;11;11;1
14/2/2017;[581] GIURISPRUDENZA;9;9;1
14/6/2017;[581] GIURISPRUDENZA;8;8;1
14/7/2017;[581] GIURISPRUDENZA;0;1;0
14/9/2016;[581] GIURISPRUDENZA;0;1;0
14/9/2017;[581] GIURISPRUDENZA;8;8;1
15/2/2017;[581] GIURISPRUDENZA;4;4;1
15/6/2017;[581] GIURISPRUDENZA;4;4;1
15/9/2016;[581] GIURISPRUDENZA;0;1;0
16/2/2017;[581] GIURISPRUDENZA;3;3;1
16/3/2017;[581] GIURISPRUDENZA;3;3;1
17/11/2017;[581] GIURISPRUDENZA;0;1;0
17/2/2017;[581] GIURISPRUDENZA;2;2;1
17/3/2017;[581] GIURISPRUDENZA;2;2;1
17/7/2017;[581] GIURISPRUDENZA;3;3;1
18/7/2017;[581] GIURISPRUDENZA;3;3;1
18/9/2017;[581] GIURISPRUDENZA;4;4;1
19/5/2017;[581] GIURISPRUDENZA;0;1;0
19/6/2017;[581] GIURISPRUDENZA;9;9;1
19/7/2017;[581] GIURISPRUDENZA;17;17;1
19/9/2016;[581] GIURISPRUDENZA;2;2;1
19/9/2017;[581] GIURISPRUDENZA;0;1;0
2/12/2016;[581] GIURISPRUDENZA;0;1;0
2/5/2017;[581] GIURISPRUDENZA;13;13;1
20/6/2017;[581] GIURISPRUDENZA;8;8;1
20/7/2017;[581] GIURISPRUDENZA;8;8;1
20/9/2016;[581] GIURISPRUDENZA;0;1;0
20/9/2017;[581] GIURISPRUDENZA;2;2;1
21/6/2017;[581] GIURISPRUDENZA;13;13;1
21/7/2017;[581] GIURISPRUDENZA;3;3;1
21/9/2016;[581] GIURISPRUDENZA;0;1;0
21/9/2017;[581] GIURISPRUDENZA;2;2;1
22/6/2017;[581] GIURISPRUDENZA;4;4;1
23/1/2017;[581] GIURISPRUDENZA;12;12;1
23/6/2017;[581] GIURISPRUDENZA;0;1;0
24/1/2017;[581] GIURISPRUDENZA;5;5;1
24/7/2017;[581] GIURISPRUDENZA;4;4;1
25/1/2017;[581] GIURISPRUDENZA;24;24;1
25/9/2017;[581] GIURISPRUDENZA;10;10;1
26/1/2017;[581] GIURISPRUDENZA;3;3;1
26/6/2017;[581] GIURISPRUDENZA;2;2;1
26/7/2017;[581] GIURISPRUDENZA;7;7;1
26/9/2016;[581] GIURISPRUDENZA;0;1;0
26/9/2017;[581] GIURISPRUDENZA;7;7;1
27/11/2017;[581] GIURISPRUDENZA;18;18;1
27/9/2016;[581] GIURISPRUDENZA;2;2;1
27/9/2017;[581] GIURISPRUDENZA;21;21;1
28/11/2016;[581] GIURISPRUDENZA;19;19;1
28/11/2017;[581] GIURISPRUDENZA;12;12;1
28/6/2017;[581] GIURISPRUDENZA;12;12;1
28/9/2016;[581] GIURISPRUDENZA;8;8;1
28/9/2017;[581] GIURISPRUDENZA;17;17;1
29/11/2016;[581] GIURISPRUDENZA;5;5;1
29/11/2017;[581] GIURISPRUDENZA;16;16;1
29/3/2017;[581] GIURISPRUDENZA;0;1;0
29/5/2017;[581] GIURISPRUDENZA;12;12;1
29/6/2017;[581] GIURISPRUDENZA;5;5;1
