cdscod	cds	adcod	ad	voto	migliori
524	[524] SCIENZE DELL'EDUCAZIONE	E1901R086	[E1901R086] METODI E TECNICHE DELLA FORMAZIONE MEDIALE	25	1
541	[541] SCIENZE DEL TURISMO E COMUNITA' LOCALE(C.SO A DISTANZA)	E1501N009	[E1501N009] SOCIOLOGIA DELLA CULTURA E DEL TEMPO LIBERO	25	1
581	[581] GIURISPRUDENZA	A5810139	[A5810139] DIRITTO AMMINISTRATIVO -PARTE SPECIALE	30	1
581	[581] GIURISPRUDENZA	A5810169	[A5810169] EUROPEAN UNION COMMON AND SECURITY DEFENSE POLICY	30	1
581	[581] GIURISPRUDENZA	A5810170	[A5810170] TRANSITIONAL JUSTICE AND STATE BUILDING	30	1
E0201Q	[E0201Q] BIOTECNOLOGIE	E0201Q074	[E0201Q074] BIOFISICA	30	1
E0201Q	[E0201Q] BIOTECNOLOGIE	E0201Q058	[E0201Q058] CHIMICA FISICA	29	1
E0201Q	[E0201Q] BIOTECNOLOGIE	E0201Q063	[E0201Q063] BIOCHIMICA CELLULARE	28,36363636	1
E1301Q	[E1301Q] SCIENZE BIOLOGICHE	E0201Q046	[E0201Q046] INFORMATICA	30	1
E1301Q	[E1301Q] SCIENZE BIOLOGICHE	E0201Q063	[E0201Q063] BIOCHIMICA CELLULARE	30	1
E1301Q	[E1301Q] SCIENZE BIOLOGICHE	E3201Q084	[E3201Q084] GESTIONE DI BASE DATI	30	1
E1401A	[E1401A] SCIENZE DEI SERVIZI GIURIDICI	A5810077	[A5810077] DIRITTO DELLE ASSICURAZIONI	30	1
E1401A	[E1401A] SCIENZE DEI SERVIZI GIURIDICI	A5810121	[A5810121] MEDIAZIONE CIVILE E COMMERCIALE	30	1
E1401A	[E1401A] SCIENZE DEI SERVIZI GIURIDICI	A5810138	[A5810138] SOCIOLOGIA DEI DIRITTI FONDAMENTALI	30	1
E1501N	[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE	E3301M182	[E3301M182] LINGUA-SPAGNOLO	29	1
E1501N	[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE	E1501N011	[E1501N011] SOCIOLOGIA DEL TERRITORIO	28,39361702	1
E1501N	[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE	E1801M053	[E1801M053] LINGUA - TEDESCO	28	1
E1502N	[E1502N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE (NETTUNO)	E1501N080	[E1501N080] MARKETING	19	1
E1601N	[E1601N] SCIENZE DELL'ORGANIZZAZIONE	A5810060	[A5810060] DIRITTO PENALE (PARTE SPECIALE)	30	1
E1601N	[E1601N] SCIENZE DELL'ORGANIZZAZIONE	E1401A040	[E1401A040] CRIMINOLOGIA	30	1
E1601N	[E1601N] SCIENZE DELL'ORGANIZZAZIONE	E3901N036	[E3901N036] MUTAMENTO SOCIALE E WELFARE	30	1
E1801M	[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI	E1802M121	[E1802M121] DIRITTO TRIBUTARIO	29	1
E1801M	[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI	E2001R024	[E2001R024] TEORIA E TECNICA DEI NUOVI MEDIA	28,77777778	1
E1801M	[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI	E2004P025	[E2004P025] PSICOLOGIA ECONOMICA E DEL LAVORO	28,66666667	1
E1802M	[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE	E1802M125	[E1802M125] TEORIA DEI CAMPIONI E SOFTWARE STATISTICI	30	1
E1802M	[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE	E1802M127	[E1802M127] PROGRAMMAZIONE BASE DI DATI E SISTEMI INFORMATIVI	30	1
E1802M	[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE	E3301M153	[E3301M153] DIRITTO AMMINISTRATIVO E DELLE AUTONOMIE	30	1
E1803M	[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI	E1802M122	[E1802M122] ORGANIZZAZIONE E CONTROLLO AZIENDALE	30	1
E1803M	[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI	E2001R055	[E2001R055] LINGUA CINESE I	30	1
E1803M	[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI	E3301M158	[E3301M158] METODI QUANTITATIVI PER LE ASSICURAZIONI E LE BANCHE	29,75	1
E1901R	[E1901R] SCIENZE DELL'EDUCAZIONE	E1901R100	[E1901R100] STORIA DELLA FILOSOFIA CONTEMPORANEA	30	1
E1901R	[E1901R] SCIENZE DELL'EDUCAZIONE	E1901R084	[E1901R084] MUSICA	29,75	1
E1901R	[E1901R] SCIENZE DELL'EDUCAZIONE	E1901R110	[E1901R110] EDUCAZIONE DEGLI ADULTI	29,06578947	1
E2001R	[E2001R] COMUNICAZIONE INTERCULTURALE	E1601N034	[E1601N034] MANAGEMENT DEI SERVIZI PUBBLICI E DELLE ORGANIZZAZIONI NO PROFIT	30	1
E2001R	[E2001R] COMUNICAZIONE INTERCULTURALE	E1801M053	[E1801M053] LINGUA - TEDESCO	30	1
E2001R	[E2001R] COMUNICAZIONE INTERCULTURALE	E1901R019	[E1901R019] STORIA MEDIOEVALE	30	1
E2003P	[E2003P] COMUNICAZIONE E PSICOLOGIA	E2004P038	[E2004P038] WEB MARKETING	30	1
E2004P	[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE	E1501N054	[E1501N054] MUSICA, SPETTACOLO E TERRITORIO	30	1
E2004P	[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE	E1901R084	[E1901R084] MUSICA	30	1
E2004P	[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE	E1901R089	[E1901R089] ESTETICA	30	1
E2401P	[E2401P] SCIENZE E TECNICHE PSICOLOGICHE	E2001R007	[E2001R007] ANTROPOLOGIA CULTURALE	30	1
E2401P	[E2401P] SCIENZE E TECNICHE PSICOLOGICHE	E2001R027	[E2001R027] ANTROPOLOGIA DELLA CONTEMPORANEITÀ	30	1
E2401P	[E2401P] SCIENZE E TECNICHE PSICOLOGICHE	E2004P009	[E2004P009] PSICOLINGUISTICA	30	1
E2701Q	[E2701Q] SCIENZA DEI MATERIALI	E2701Q049	[E2701Q049] LABORATORIO DI TECNOLOGIA DEI MATERIALI II	30	1
E2701Q	[E2701Q] SCIENZA DEI MATERIALI	E2701Q051	[E2701Q051] LABORATORIO DI TECNOLOGIA DEI MATERIALI I	30	1
E2701Q	[E2701Q] SCIENZA DEI MATERIALI	E2702Q045	[E2702Q045] ELEMENTI DI BIOCHIMICA	30	1
E2702Q	[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE	E0201Q046	[E0201Q046] INFORMATICA	30	1
E2702Q	[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE	E2702Q045	[E2702Q045] ELEMENTI DI BIOCHIMICA	28,325	1
E2702Q	[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE	E2001R014	[E2001R014] LOGICA E FILOSOFIA DELLA SCIENZA	28	1
E3001Q	[E3001Q] FISICA	E3001Q062	[E3001Q062] ESPERIMENTAZIONI DI PLASMI	30	1
E3001Q	[E3001Q] FISICA	E3001Q064	[E3001Q064] ESPERIMENTAZIONI DI FISICA DEI SOLIDI	30	1
E3001Q	[E3001Q] FISICA	E3501Q058	[E3501Q058] ANALISI NUMERICA	30	1
E3002Q	[E3002Q] OTTICA E OPTOMETRIA	E1901R091	[E1901R091] PSICOLOGIA CLINICA	30	1
E3002Q	[E3002Q] OTTICA E OPTOMETRIA	E1301Q063	[E1301Q063] BOTANICA	29	1
E3002Q	[E3002Q] OTTICA E OPTOMETRIA	E1601N033	[E1601N033] ECONOMIA E MANAGEMENT DELLE RETI E DELLE PICCOLE IMPRESE	29	1
E3101Q	[E3101Q] INFORMATICA	E3001Q040	[E3001Q040] ANALISI MATEMATICA II	30	1
E3101Q	[E3101Q] INFORMATICA	E3101Q117	[E3101Q117] BUSINESS INTELLIGENCE PER I SERVIZI FINANZIARI	29,66666667	1
E3101Q	[E3101Q] INFORMATICA	E3101Q116	[E3101Q116] ELEMENTI DI BIOINFORMATICA	29,625	1
E3201Q	[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE	E3201Q086	[E3201Q086] STATISTICA	28,75	1
E3201Q	[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE	E3201Q087	[E3201Q087] CHIMICA DELLE ACQUE	28,2	1
E3201Q	[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE	E1301Q015	[E1301Q015] FISIOLOGIA GENERALE	28	1
E3301M	[E3301M] ECONOMIA E COMMERCIO	E1802M117	[E1802M117] BILANCIO E ANALISI ECONOMICO FINANZIARIA	30	1
E3301M	[E3301M] ECONOMIA E COMMERCIO	E2004P025	[E2004P025] PSICOLOGIA ECONOMICA E DEL LAVORO	30	1
E3301M	[E3301M] ECONOMIA E COMMERCIO	E3301M156	[E3301M156] METODI QUANTITATIVI PER LE DISCIPLINE ECONOMICHE	29,5	1
E3401Q	[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE	E1501N082	[E1501N082] ARCHEOLOGIA	30	1
