adcod;AD;cds;tentativi
E1401A039;[E1401A039] DIRITTO DELL'ESECUZIONE CIVILE;[E1401A] SCIENZE DEI SERVIZI GIURIDICI;2
I0302D003;[I0302D003] ORGANI E FUNZIONI;[I0302D] TECNICHE DI LABORATORIO BIOMEDICO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI LABORATORIO BIOMEDICO);1,964285714
I0301D001;[I0301D001] SCIENZE PROPEDEUTICHE;[I0301D] IGIENE DENTALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI IGIENISTA DENTALE);1,8
I0301D003;[I0301D003] ORGANI E FUNZIONI;[I0301D] IGIENE DENTALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI IGIENISTA DENTALE);1,777777778
H4601D016;[H4601D016] SCIENZE MEDICHE AFFINI;[H4601D] ODONTOIATRIA E PROTESI DENTARIA;1,64
I0302D001;[I0302D001] SCIENZE PROPEDEUTICHE;[I0302D] TECNICHE DI LABORATORIO BIOMEDICO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI LABORATORIO BIOMEDICO);1,576923077
E3002Q006;[E3002Q006] FISICA I;[E3002Q] OTTICA E OPTOMETRIA;1,566666667
E3002Q033;[E3002Q033] OTTICA GEOMETRICA E OFTALMICA CON LABORATORIO;[E3002Q] OTTICA E OPTOMETRIA;1,52173913
E2702Q089;[E2702Q089] CHIMICA FISICA II E LABORATORIO;[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE;1,42
I0303D001;[I0303D001] SCIENZE PROPEDEUTICHE;[I0303D] TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA );1,409090909
F0601Q058;[F0601Q058] BIODIVERSITA' VEGETALE;[F0601Q] BIOLOGIA;1,4
E3002Q032;[E3002Q032] ANATOMIA E ISTOLOGIA UMANA E OCULARE;[E3002Q] OTTICA E OPTOMETRIA;1,396226415
E4101B001;[E4101B001] ANALISI MATEMATICA I;[E4101B] SCIENZE STATISTICHE ED ECONOMICHE;1,333333333
H4101D253;[H4101D253] FISIOLOGIA UMANA;[H4101D] MEDICINA E CHIRURGIA;1,302325581
E4102B067;[E4102B067] INFORMATICA;[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI;1,276595745
E4102B005;[E4102B005] STATISTICA I;[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI;1,256410256
E1801M032;[E1801M032] INFORMATICA GENERALE;[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI;1,193548387
E4101B002;[E4101B002] ALGEBRA LINEARE;[E4101B] SCIENZE STATISTICHE ED ECONOMICHE;1,193548387
E1803M047;[E1803M047] MATEMATICA GENERALE I;[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI;1,19047619
I0301D002;[I0301D002] SCIENZE BIOMEDICHE;[I0301D] IGIENE DENTALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI IGIENISTA DENTALE);1,185185185
I0302D002;[I0302D002] SCIENZE BIOMEDICHE;[I0302D] TECNICHE DI LABORATORIO BIOMEDICO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI LABORATORIO BIOMEDICO);1,178571429
E3401Q013;[E3401Q013] MINERALOGIA;[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE;1,166666667
