cds,sum_commit,sum_tutti,tasso_commit
"[581] GIURISPRUDENZA",701,720,0.973611111111111
"[E1901R] SCIENZE DELL'EDUCAZIONE",280,303,0.924092409240924
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",209,231,0.904761904761905
"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",263,292,0.900684931506849
"[E2001R] COMUNICAZIONE INTERCULTURALE",230,257,0.894941634241245
"[E3301M] ECONOMIA E COMMERCIO",197,221,0.891402714932127
"[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE",188,211,0.890995260663507
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",235,266,0.883458646616541
"[E4101B] SCIENZE STATISTICHE ED ECONOMICHE",174,199,0.874371859296482
"[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA",189,220,0.859090909090909
