cdscod,cds,adcod,ad,voto
524,"[524] SCIENZE DELL'EDUCAZIONE",E1901R086,"[E1901R086] METODI E TECNICHE DELLA FORMAZIONE MEDIALE",25.0
541,"[541] SCIENZE DEL TURISMO E COMUNITA' LOCALE(C.SO A DISTANZA)",E1501N009,"[E1501N009] SOCIOLOGIA DELLA CULTURA E DEL TEMPO LIBERO",25.0
581,"[581] GIURISPRUDENZA",A5810139,"[A5810139] DIRITTO AMMINISTRATIVO -PARTE SPECIALE",30.0
581,"[581] GIURISPRUDENZA",A5810169,"[A5810169] EUROPEAN UNION COMMON AND SECURITY DEFENSE POLICY",30.0
581,"[581] GIURISPRUDENZA",A5810170,"[A5810170] TRANSITIONAL JUSTICE AND STATE BUILDING",30.0
E0201Q,"[E0201Q] BIOTECNOLOGIE",E0201Q074,"[E0201Q074] BIOFISICA",30.0
E0201Q,"[E0201Q] BIOTECNOLOGIE",E0201Q058,"[E0201Q058] CHIMICA FISICA",29.0
E0201Q,"[E0201Q] BIOTECNOLOGIE",E0201Q063,"[E0201Q063] BIOCHIMICA CELLULARE",28.3636363636364
E1301Q,"[E1301Q] SCIENZE BIOLOGICHE",E0201Q046,"[E0201Q046] INFORMATICA",30.0
E1301Q,"[E1301Q] SCIENZE BIOLOGICHE",E0201Q063,"[E0201Q063] BIOCHIMICA CELLULARE",30.0
E1301Q,"[E1301Q] SCIENZE BIOLOGICHE",E3201Q084,"[E3201Q084] GESTIONE DI BASE DATI",30.0
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",A5810077,"[A5810077] DIRITTO DELLE ASSICURAZIONI",30.0
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",A5810121,"[A5810121] MEDIAZIONE CIVILE E COMMERCIALE",30.0
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",A5810138,"[A5810138] SOCIOLOGIA DEI DIRITTI FONDAMENTALI",30.0
E1501N,"[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE",E3301M182,"[E3301M182] LINGUA-SPAGNOLO",29.0
E1501N,"[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE",E1501N011,"[E1501N011] SOCIOLOGIA DEL TERRITORIO",28.3936170212766
E1501N,"[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE",E1801M053,"[E1801M053] LINGUA - TEDESCO",28.0
E1502N,"[E1502N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE (NETTUNO)",E1501N080,"[E1501N080] MARKETING",19.0
E1601N,"[E1601N] SCIENZE DELL'ORGANIZZAZIONE",A5810060,"[A5810060] DIRITTO PENALE (PARTE SPECIALE)",30.0
E1601N,"[E1601N] SCIENZE DELL'ORGANIZZAZIONE",E1401A040,"[E1401A040] CRIMINOLOGIA",30.0
E1601N,"[E1601N] SCIENZE DELL'ORGANIZZAZIONE",E3901N036,"[E3901N036] MUTAMENTO SOCIALE E WELFARE",30.0
E1801M,"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E1802M121,"[E1802M121] DIRITTO TRIBUTARIO",29.0
E1801M,"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E2001R024,"[E2001R024] TEORIA E TECNICA DEI NUOVI MEDIA",28.7777777777778
E1801M,"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",E2004P025,"[E2004P025] PSICOLOGIA ECONOMICA E DEL LAVORO",28.6666666666667
E1802M,"[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE",E1802M125,"[E1802M125] TEORIA DEI CAMPIONI E SOFTWARE STATISTICI",30.0
E1802M,"[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE",E1802M127,"[E1802M127] PROGRAMMAZIONE BASE DI DATI E SISTEMI INFORMATIVI",30.0
E1802M,"[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE",E3301M153,"[E3301M153] DIRITTO AMMINISTRATIVO E DELLE AUTONOMIE",30.0
E1803M,"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1802M122,"[E1802M122] ORGANIZZAZIONE E CONTROLLO AZIENDALE",30.0
E1803M,"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E2001R055,"[E2001R055] LINGUA CINESE I",30.0
E1803M,"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E3301M158,"[E3301M158] METODI QUANTITATIVI PER LE ASSICURAZIONI E LE BANCHE",29.75
E1901R,"[E1901R] SCIENZE DELL'EDUCAZIONE",E1901R100,"[E1901R100] STORIA DELLA FILOSOFIA CONTEMPORANEA",30.0
E1901R,"[E1901R] SCIENZE DELL'EDUCAZIONE",E1901R084,"[E1901R084] MUSICA",29.75
E1901R,"[E1901R] SCIENZE DELL'EDUCAZIONE",E1901R110,"[E1901R110] EDUCAZIONE DEGLI ADULTI",29.0657894736842
E2001R,"[E2001R] COMUNICAZIONE INTERCULTURALE",E1601N034,"[E1601N034] MANAGEMENT DEI SERVIZI PUBBLICI E DELLE ORGANIZZAZIONI NO PROFIT",30.0
E2001R,"[E2001R] COMUNICAZIONE INTERCULTURALE",E1801M053,"[E1801M053] LINGUA - TEDESCO",30.0
E2001R,"[E2001R] COMUNICAZIONE INTERCULTURALE",E1901R019,"[E1901R019] STORIA MEDIOEVALE",30.0
E2003P,"[E2003P] COMUNICAZIONE E PSICOLOGIA",E2004P038,"[E2004P038] WEB MARKETING",30.0
E2004P,"[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE",E1501N054,"[E1501N054] MUSICA, SPETTACOLO E TERRITORIO",30.0
E2004P,"[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE",E1901R084,"[E1901R084] MUSICA",30.0
E2004P,"[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE",E1901R089,"[E1901R089] ESTETICA",30.0
E2401P,"[E2401P] SCIENZE E TECNICHE PSICOLOGICHE",E2001R007,"[E2001R007] ANTROPOLOGIA CULTURALE",30.0
E2401P,"[E2401P] SCIENZE E TECNICHE PSICOLOGICHE",E2001R027,"[E2001R027] ANTROPOLOGIA DELLA CONTEMPORANEITÀ",30.0
E2401P,"[E2401P] SCIENZE E TECNICHE PSICOLOGICHE",E2004P009,"[E2004P009] PSICOLINGUISTICA",30.0
E2701Q,"[E2701Q] SCIENZA DEI MATERIALI",E2701Q049,"[E2701Q049] LABORATORIO DI TECNOLOGIA DEI MATERIALI II",30.0
