cdsCod,cds,media_27,media_28,media_2930,cred_merito
581,"[581] GIURISPRUDENZA",222,245,271,224500
H4101D,"[H4101D] MEDICINA E CHIRURGIA",123,200,274,202375
E1901R,"[E1901R] SCIENZE DELL'EDUCAZIONE",309,258,176,191125
G8501R,"[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA",352,289,137,184750
E2401P,"[E2401P] SCIENZE E TECNICHE PSICOLOGICHE",218,223,129,147500
F8501R,"[F8501R] SCIENZE PEDAGOGICHE",77,99,84,76375
F5101P,"[F5101P] PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA",28,46,109,69500
F7701M,"[F7701M] SCIENZE ECONOMICO-AZIENDALI",84,87,62,63250
F1801Q,"[F1801Q] INFORMATICA",21,43,84,55375
F5701R,"[F5701R] FORMAZIONE E SVILUPPO DELLE RISORSE UMANE",61,92,43,52125
E3001Q,"[E3001Q] FISICA",55,41,68,51125
F5102P,"[F5102P] PSICOLOGIA DEI PROCESSI SOCIALI, DECISIONALI E DEI COMPORTAMENTI ECONOMICI",38,52,66,50750
E3101Q,"[E3101Q] INFORMATICA",79,52,50,47875
E0201Q,"[E0201Q] BIOTECNOLOGIE",69,67,43,46875
E2001R,"[E2001R] COMUNICAZIONE INTERCULTURALE",79,75,29,43125
F0101R,"[F0101R] SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE",19,24,69,42875
E2004P,"[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE",62,56,41,42250
E1301Q,"[E1301Q] SCIENZE BIOLOGICHE",67,59,38,42125
E1802M,"[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE",85,62,32,42125
E1801M,"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",103,57,28,41125
F8701N,"[F8701N] PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI",11,28,55,35875
F5104P,"[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA",47,54,31,34875
E3301M,"[E3301M] ECONOMIA E COMMERCIO",74,47,27,34500
F7501Q,"[F7501Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO",24,28,44,32000
F7702M,"[F7702M] MARKETING E MERCATI GLOBALI",54,58,20,31250
F1701Q,"[F1701Q] FISICA",6,16,51,30250
H4601D,"[H4601D] ODONTOIATRIA E PROTESI DENTARIA",7,23,44,28625
E1401A,"[E1401A] SCIENZE DEI SERVIZI GIURIDICI",49,32,28,28125
E1803M,"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",58,36,21,26750
E4001N,"[E4001N] SOCIOLOGIA",53,38,20,26125
E2702Q,"[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE",33,30,28,25625
F6302N,"[F6302N] MANAGEMENT E DESIGN DEI SERVIZI",48,35,20,24750
F5103P,"[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI",32,33,24,24250
F1601M,"[F1601M] ECONOMIA E FINANZA",40,38,19,24000
E4101B,"[E4101B] SCIENZE STATISTICHE ED ECONOMICHE",29,32,18,20625
F5401Q,"[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE",9,21,28,20375
F8204B,"[F8204B] SCIENZE STATISTICHE ED ECONOMICHE",34,29,14,18500
F0802Q,"[F0802Q] BIOTECNOLOGIE INDUSTRIALI",18,31,16,18000
F8203B,"[F8203B] BIOSTATISTICA",14,24,20,17750
E1601N,"[E1601N] SCIENZE DELL'ORGANIZZAZIONE",49,26,10,17625
E3901N,"[E3901N] SERVIZIO SOCIALE",44,26,10,17000
E3501Q,"[E3501Q] MATEMATICA",23,24,16,16875
F9201P,"[F9201P] TEORIA E TECNOLOGIA DELLA COMUNICAZIONE",26,26,13,16250
I0101D,"[I0101D] INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE)",74,26,1,16250
E1501N,"[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE",63,23,5,16125
F0601Q,"[F0601Q] BIOLOGIA",10,25,17,16000
E3201Q,"[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE",18,17,16,14500
F4901N,"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",22,23,12,14500
F8801N,"[F8801N] SOCIOLOGIA",11,13,19,14125
F0901D,"[F0901D] BIOTECNOLOGIE MEDICHE",11,24,13,13875
F7601M,"[F7601M] ECONOMIA DEL TURISMO",28,26,7,13500
I0102D,"[I0102D] OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O)",25,24,8,13125
F7401Q,"[F7401Q] SCIENZE E TECNOLOGIE GEOLOGICHE",16,13,14,12250
E2701Q,"[E2701Q] SCIENZA DEI MATERIALI",12,17,12,11750
F5301Q,"[F5301Q] SCIENZA DEI MATERIALI",8,9,16,11250
F5602M,"[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE",10,14,12,10750
K0101D,"[K0101D] SCIENZE INFERMIERISTICHE E OSTETRICHE",13,18,7,9625
E3401Q,"[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE",21,15,6,9375
F4001Q,"[F4001Q] MATEMATICA",7,6,14,9375
E4102B,"[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI",20,13,7,9250
