cdscod;cds;studente;avg_voto;num_esami;max;min;diff_day;diff_day_norm;avg_voto_norm;num_esami_norm;studente;ratio
E4101B;[E4101B] SCIENZE STATISTICHE ED ECONOMICHE;C435C2D1BB5339A0597F2071D153AF0381CCC6C9;28,22222222;16;20/07/2017;01/02/2017;169;0,364224138;0,940740741;0,592592593;C435C2D1BB5339A0597F2071D153AF0381CCC6C9;0,658748404
H4101D;[H4101D] MEDICINA E CHIRURGIA;549B0E0E4697EDAA9F2B9F55538E0EFD3C89DDA2;26,75;26;29/09/2017;10/01/2017;262;0,564655172;0,891666667;0,962962963;549B0E0E4697EDAA9F2B9F55538E0EFD3C89DDA2;0,655443806
F0601Q;[F0601Q] BIOLOGIA;FADFCEC5D9561169924F33531A4804D7E1BB7DFD;29,63636364;11;29/09/2017;20/06/2017;101;0,217672414;0,987878788;0,407407407;FADFCEC5D9561169924F33531A4804D7E1BB7DFD;0,653302421
581;[581] GIURISPRUDENZA;B8BC844E4BBCFE0D1502898D292A15CA95F9627D;29,69230769;16;10/07/2017;28/11/2016;224;0,482758621;0,98974359;0,592592593;B8BC844E4BBCFE0D1502898D292A15CA95F9627D;0,6481285
F0601Q;[F0601Q] BIOLOGIA;1CD6A928C59C9AF4CC68142F2C14CF851E5552B6;29,18181818;14;18/07/2017;24/01/2017;175;0,377155172;0,972727273;0,518518519;1CD6A928C59C9AF4CC68142F2C14CF851E5552B6;0,647841925
F8501R;[F8501R] SCIENZE PEDAGOGICHE;8DA9D8B246295B5C1B5F0F2D77C8A75C29EDEDC8;28;23;09/10/2017;11/01/2017;271;0,584051724;0,933333333;0,851851852;8DA9D8B246295B5C1B5F0F2D77C8A75C29EDEDC8;0,643829821
H4101D;[H4101D] MEDICINA E CHIRURGIA;FC925B9B83F98FBF0AEBDC1213CA6046E7A70F9F;29;15;25/07/2017;10/01/2017;196;0,422413793;0,966666667;0,555555556;FC925B9B83F98FBF0AEBDC1213CA6046E7A70F9F;0,643773946
F7701M;[F7701M] SCIENZE ECONOMICO-AZIENDALI;275B2BC40A2A515130A0A012C86404C6EB66DCE9;29,625;12;05/07/2017;02/02/2017;153;0,329741379;0,9875;0,444444444;275B2BC40A2A515130A0A012C86404C6EB66DCE9;0,64269636
F0601Q;[F0601Q] BIOLOGIA;F91C4AC79E27BA328EA901FF21E61F8A8C7C8F70;28,91666667;15;04/08/2017;20/01/2017;196;0,422413793;0,963888889;0,555555556;F91C4AC79E27BA328EA901FF21E61F8A8C7C8F70;0,642385057
F7601M;[F7601M] ECONOMIA DEL TURISMO;45B34547907A29922B951967B7DC6E4C01BBD5FA;28,33333333;19;21/09/2017;23/01/2017;241;0,519396552;0,944444444;0,703703704;45B34547907A29922B951967B7DC6E4C01BBD5FA;0,641323436
